Dia,Valor
392,19.03
393,14.38
394,11.06
395,21.10
396,17.76
397,16.81
398,10.00
399,19.29
400,17.93
401,8.69
402,19.95
403,17.75
404,19.58
405,11.50
406,17.17
407,24.00
408,11.39
409,18.62
410,12.81
411,19.03
412,24.70
413,12.67
414,20.69
415,17.75
416,23.62
417,10.67
418,21.68
419,9.40
420,18.17
421,17.16
422,8.47
423,20.59
424,18.92
425,14.71
426,20.97
427,19.74
428,16.64
429,10.11
430,19.43
431,18.70
432,10.68
433,18.10
434,20.58
435,12.50
436,16.86
437,23.83
438,26.60
439,12.83
440,20.01
441,18.60
442,24.75
443,21.22
444,18.15
445,23.53
446,22.29
447,9.22
448,19.03
449,18.24
450,17.71
451,8.60
452,20.27
453,19.37
454,12.79
455,19.55
456,16.55
457,9.99
458,19.05
459,21.81
460,10.60
461,17.61
462,20.96
463,12.71
464,16.78
465,17.99
466,26.48
467,12.94
468,20.59
469,18.65
470,20.98
471,18.22
472,18.47
473,22.67
474,9.31
475,19.10
476,18.04
477,17.69
478,8.43
479,20.98
480,16.99
481,13.03
482,19.37
483,16.12
484,9.89
485,9.36
486,20.14
487,21.69
488,10.15
489,18.07
490,21.63
491,10.63
492,17.89
493,26.34
494,13.15
495,21.30
496,21.30
497,11.26
498,21.55
499,18.41
500,22.99
501,8.63
502,18.96
503,17.23
504,13.44
505,21.55
506,15.88
507,13.02
508,19.57
509,16.40
510,19.31
511,9.60
512,20.45
513,21.60
514,9.95
515,17.58
516,24.15
517,10.90
518,18.12
519,17.58
520,25.74
521,20.70
522,11.86
523,22.78
524,10.96
525,22.61
526,18.32
527,22.61
528,18.42
529,17.46
530,19.57
531,14.00
532,21.47
533,15.88
534,13.16
535,19.59
536,19.31
537,19.83
538,11.09
539,21.37
540,21.38
541,10.09
542,12.41
543,16.55
544,25.09
545,10.56
546,17.30
547,17.88
548,24.49
549,11.61
550,18.40
551,22.74
552,10.96
553,22.80
554,18.35
555,22.58
556,18.62
557,8.47
558,21.28
559,19.48
560,13.68
561,20.93
562,15.81
563,13.47
564,9.89
565,19.21
566,19.63
567,12.12
568,21.57
569,21.51
570,22.15
571,11.91
572,16.57
573,25.00
574,10.70
575,17.62
576,18.42
577,24.50
578,11.48
579,21.15
580,17.82
581,23.00
582,10.51
583,23.10
584,18.39
585,9.23
586,20.87
587,18.53
588,15.32
589,20.87
590,15.75
591,16.26
592,9.97
593,19.49
594,19.63
595,12.13
596,21.50
597,17.90
598,22.03
599,12.13
600,16.61
601,25.19
602,10.19
603,18.65
604,25.62
605,12.43
606,20.84
607,18.23
608,24.82
609,11.99
610,21.31
611,18.03
612,22.70
613,9.62
614,22.16
615,8.63
616,17.31
617,9.29
618,21.05
619,18.91
620,15.04
621,20.82
622,19.82
623,16.60
624,10.03
625,20.06
626,19.95
627,9.92
628,18.68
629,21.62
630,16.50
631,25.54
632,18.40
633,25.30
634,12.55
635,21.09
636,17.94
637,24.60
638,20.90
639,18.19
640,22.54
641,22.75
642,8.76
643,18.68
644,17.54
645,9.22
646,21.16
647,18.77
648,13.40
649,20.18
650,16.91
651,9.83
652,19.79
653,22.37
654,10.04
655,18.53
656,12.13
657,16.79
658,18.29
659,25.29
660,12.50
661,21.73
662,17.38
663,20.60
664,18.32
665,18.55
666,22.63
667,7.67
668,18.50
669,17.93
670,15.79
671,9.57
672,19.62
673,15.51
674,13.77
675,20.75
676,17.19
677,9.50
678,11.39
679,21.05
680,22.32
681,10.28
682,22.11
683,9.83
684,18.02
685,19.28
686,25.33
687,12.73
688,22.64
689,11.87
690,9.94
691,21.47
692,18.45
693,22.20
694,7.73
695,18.34
696,18.01
697,15.49
698,14.00
699,20.50
700,15.57
701,14.40
702,20.75
703,17.54
704,19.47
705,12.15
706,21.13
707,22.32
708,10.76
709,18.51
710,18.67
711,18.74
712,25.49
713,22.86
714,24.12
715,11.67
716,22.85
717,9.63
718,21.95
719,18.25
720,21.30
721,7.86
722,18.69
723,18.91
724,18.72
725,13.88
726,20.50
727,15.82
728,14.28
729,20.21
730,19.48
731,19.50
732,12.39
733,20.69
734,22.22
735,10.90
736,11.77
737,25.20
738,10.52
739,18.82
740,18.53
741,17.03
742,23.61
743,11.30
744,18.20
745,22.70
746,9.14
747,22.07
748,18.47
749,21.66
750,19.09
751,18.94
752,18.58
753,12.34
754,20.27
755,15.95
756,14.30
757,9.23
758,19.55
759,19.22
760,11.99
761,20.46
762,22.25
763,21.72
764,11.23
765,17.12
766,25.37
767,10.97
768,19.20
769,13.05
770,16.44
771,23.48
772,11.08
773,20.70
774,18.18
775,22.62
776,9.33
777,22.01
778,18.30
779,9.05
780,20.46
781,18.74
782,13.30
783,20.00
784,15.76
785,17.38
786,8.61
787,19.60
788,19.61
789,11.67
790,20.16
791,18.66
792,21.71
793,11.54
794,17.36
795,25.05
796,11.01
797,20.18
798,24.99
799,13.42
800,22.52
801,20.21
802,18.36
803,22.81
804,9.51
805,21.10
806,7.78
807,14.55
808,8.73
809,21.01
810,18.62
811,12.36
812,20.11
813,20.57
814,17.12
815,8.15
816,19.79
817,20.39
818,11.02
819,18.34
820,21.34
821,12.09
822,17.43
823,25.20
824,18.42
825,24.78
826,13.59
827,20.21
828,18.56
829,22.25
830,8.02
831,19.90
832,14.50
833,8.90
834,20.63
835,18.93
836,13.99
837,20.70
838,17.17
839,7.18
840,19.89
841,21.96
842,11.07
843,17.45
844,21.05
845,11.83
846,17.43
847,18.33
848,25.29
849,13.55
850,19.97
851,18.42
852,18.94
853,19.90
854,14.35
855,8.96
856,15.67
857,13.63
858,20.15
859,17.18
860,8.52
